customer_id,customer_name,gender,email,phone,city,state,country,registration_date
CUST00001,Oeshi Lad,Male,devanshmagar@example.com,3879151748,Motihari,Arunachal Pradesh,India,2024-03-20
CUST00002,Jagvi Shah,Male,wmohanty@example.org,8961169693,Siliguri,Uttar Pradesh,India,2025-03-27
CUST00003,Megha Varghese,Male,tmangat@example.org,0046890819,Sri Ganganagar,Karnataka,India,2026-04-04
CUST00004,Tejas Kara,Female,sanghachatresh@example.com,8219044335,Nashik,Meghalaya,India,2023-10-13
CUST00005,Qasim Aurora,Male,mannenisha@example.net,7607984171,Kozhikode,Meghalaya,India,2025-01-27
CUST00006,Irya Bora,Female,nadkarnivedhika@example.net,9466208266,Gulbarga,Kerala,India,2026-06-29
CUST00007,Mohammed Bhargava,Female,naveen36@example.net,7276085187,Guna,Andhra Pradesh,India,2022-09-04
CUST00008,Jhalak Borra,Female,tnarasimhan@example.net,6870233127,North Dumdum,Meghalaya,India,2024-03-17
CUST00009,Rajata Khosla,Male,kadelila@example.com,4308040618,Kumbakonam,Manipur,India,2025-03-26
CUST00010,Yug Puri,Female,borahsarthak@example.com,9022951251,Gorakhpur,Arunachal Pradesh,India,2023-06-17
CUST00011,Adya Lanka,Female,chanchal42@example.org,2090483480,Gandhidham,Odisha,India,2022-04-24
CUST00012,Falak Dhillon,Female,ykurian@example.org,0465815878,Gangtok,Nagaland,India,2025-06-16
CUST00013,Aayush Sunder,Male,moak@example.com,8562147760,Gurgaon,Punjab,India,2021-12-12
CUST00014,Chaitaly Chowdhury,Male,ayush36@example.com,7456751762,Kozhikode,Assam,India,2024-03-08
CUST00015,Yoshita Dada,Male,triyabansal@example.net,5553832622,Jorhat,Uttarakhand,India,2025-08-10
CUST00016,Nisha Rana,Female,shivansh79@example.net,7213316188,Anantapuram,Andhra Pradesh,India,2024-03-21
CUST00017,Indali Naik,Female,prabhulakshit@example.org,2781949140,Chittoor,Nagaland,India,2021-12-19
CUST00018,Ucchal Sarkar,Female,aadhyakala@example.com,7431962282,Kozhikode,Telangana,India,2026-02-14
CUST00019,Dalaja Som,Female,ldevan@example.org,7664894147,Farrukhabad,Andhra Pradesh,India,2024-12-25
CUST00020,Zinal Shenoy,Female,jdewan@example.com,8805602266,Hubli–Dharwad,Karnataka,India,2023-05-28
CUST00021,Indrajit Contractor,Female,charan03@example.net,5840307885,Serampore,Assam,India,2021-08-10
CUST00022,Ekantika Sani,Male,jairaj86@example.org,5562615688,Mehsana,Assam,India,2023-06-28
CUST00023,Aadi Ramanathan,Male,oni31@example.com,8143621904,Bhiwani,West Bengal,India,2025-10-12
CUST00024,Yahvi Shankar,Female,nicholas98@example.com,6052022956,Uluberia,Tripura,India,2026-07-07
CUST00025,Kevin Padmanabhan,Male,vyanjanaapte@example.net,3376633601,Bhilai,Mizoram,India,2024-08-07
CUST00026,Atharv Grewal,Male,ztoor@example.org,1916295001,Bikaner,Maharashtra,India,2023-09-03
CUST00027,Sudiksha Rau,Male,ishwar57@example.org,5629731417,Alappuzha,Kerala,India,2022-10-06
CUST00028,Warda Bhalla,Male,fdas@example.net,7796881090,Asansol,Manipur,India,2023-02-05
CUST00029,Udarsh Ramakrishnan,Male,bumbkrish@example.org,5065876508,Gaya,Assam,India,2022-10-05
CUST00030,Shivani Subramaniam,Female,jchoudhry@example.net,7083989414,Ghaziabad,Uttarakhand,India,2023-01-03
CUST00031,Varenya Kari,Male,dalaja99@example.org,0242797659,Salem,Haryana,India,2023-08-01
CUST00032,Laban Deo,Male,fbasak@example.org,0491099570,Purnia,Tripura,India,2023-07-29
CUST00033,Laksh Barman,Male,deobalhaar@example.net,8289278918,Faridabad,Mizoram,India,2021-11-11
CUST00034,Ishaan Mandal,Male,deshpandedarpan@example.org,6568755484,Sikar,Chhattisgarh,India,2023-03-15
CUST00035,Nirja Tak,Female,kalamaster@example.org,4968349815,Serampore,Sikkim,India,2025-09-20
CUST00036,Wazir Parikh,Female,lakshmisekhon@example.com,0204365080,Ujjain,Sikkim,India,2026-06-08
CUST00037,Kevin Taneja,Male,shivansh32@example.org,5776283482,Vellore,Arunachal Pradesh,India,2024-08-30
CUST00038,Neelima Ravel,Female,lbadami@example.org,1575621185,Gudivada,Madhya Pradesh,India,2026-03-09
CUST00039,Reva Puri,Female,keyashankar@example.org,5069982563,Chinsurah,Tamil Nadu,India,2023-05-23
