supplier_id,supplier_name,supplier_category,contact_name,phone,email,city,state,country,supplier_status
SUP001,"Dutt, More and Choudhry",International,George Swaminathan,9578838432,gaurangpalla@dutt-ranganathan.org,Karnal,Tripura,India,Active
SUP002,Merchant Group,International,Hitesh Varghese,8680547642,sandhunilima@sane.com,Asansol,Odisha,India,Active
SUP003,Shetty-Tata,National,Akshay Bobal,3197584095,harshil62@nagarajan.net,Faridabad,Kerala,India,Active
SUP004,"Kade, Savant and Chanda",International,Nisha Bera,4952527833,shari@sha.com,Dehradun,Bihar,India,Active
SUP005,Baral-Mahajan,Local,Madhavi Tank,3106002002,jcontractor@cherian.com,Pimpri-Chinchwad,Mizoram,India,Active
SUP006,Kumer-Ratti,Local,Nitara Panchal,4742794777,sprasad@warrior-more.com,Chennai,Himachal Pradesh,India,Active
SUP007,"Bajwa, Bobal and Wable",National,Zansi Murthy,3343307208,labanatwal@bir-manda.com,Ramagundam,Tamil Nadu,India,Active
SUP008,Verma Ltd,International,Gopal Dixit,5503892839,dalajaarya@rana-swaminathan.com,Ambarnath,West Bengal,India,Active
SUP009,"Yadav, Kuruvilla and Raju",International,Shravya Shah,9149885544,sprabhakar@raju.info,Phagwara,Punjab,India,Active
SUP010,Bava PLC,National,Yug Kale,6282430318,faris08@sura-chandra.com,Erode,Gujarat,India,Active
SUP011,Ranganathan Ltd,National,Arya Kalita,7331247323,yogiveda@kala.com,Nadiad,Manipur,India,Active
SUP012,Hegde-Peri,International,Shravya Chada,0489050089,noah83@bawa-goyal.com,Jabalpur,Meghalaya,India,Active
SUP013,Halder-Khare,Local,Rachana Peri,4986000506,hiral13@rajagopal.net,Coimbatore,Assam,India,Active
SUP014,"Bhagat, Bath and Vora",National,Libni Parekh,5131823317,farajtella@sachdev.com,Nagercoil,Uttarakhand,India,Active
SUP015,"Gara, Roy and Badami",International,Michael Dhillon,3586180268,samarprabhu@vora-dhar.com,Latur,Maharashtra,India,Active
SUP016,Misra-Parekh,Local,Jack Pingle,0139777531,pantbakhshi@mani.net,Ongole,Goa,India,Active
SUP017,Chauhan Ltd,International,Ekantika Bassi,2998661963,agrawalyatin@sharma-narang.com,Purnia,Tripura,India,Active
SUP018,"Dey, Mani and Keer",International,Yahvi Tank,1736878816,elijahdave@gade.com,Coimbatore,Telangana,India,Active
SUP019,Sabharwal-Gaba,Local,Sachi Golla,5272817611,boradakshesh@kalita-lata.net,Silchar,Manipur,India,Active
SUP020,"Nayak, Sama and Nigam",International,Theodore Pillai,4338649453,okarnik@sathe-setty.com,Purnia,Haryana,India,Active
SUP021,Vyas-Sarkar,National,Girindra Sagar,8911328493,rachanarege@krishna.com,Davanagere,Uttar Pradesh,India,Inactive
SUP022,"Mohanty, Chanda and Bahri",National,Triveni Chaudhari,9220760900,pallamegha@varma.net,Tezpur,Goa,India,Active
SUP023,Mahajan and Sons,International,Janya Devan,8293700496,gopal67@gole.net,Latur,Nagaland,India,Inactive
SUP024,"Borra, Bumb and Patla",International,Victor Banik,2921131492,bailsara@barad-prashad.com,Shimla,Jharkhand,India,Active
SUP025,Kumer-Upadhyay,National,Reva Ramaswamy,9409759202,xavier27@mutti-boase.com,Delhi,Himachal Pradesh,India,Active
SUP026,Gandhi-Acharya,National,Nandini Lala,4416061534,omkaarkunda@bakshi.com,Gopalpur,Jharkhand,India,Active
SUP027,"Salvi, Golla and Yadav",National,Vinaya Rajagopal,1775463652,brijeshbuch@rao.biz,Vellore,Gujarat,India,Active
SUP028,"Choudhury, Lala and Sandhu",Local,Chakradev Nadkarni,6871269682,anmolsen@saraf.net,Burhanpur,Karnataka,India,Inactive
SUP029,Bhakta-Chad,International,Omaja Sanghvi,0545007624,masteronkar@reddy-mistry.com,Guna,Jharkhand,India,Active
SUP030,Dhar Ltd,Local,Ishwar Baria,2349233035,hdube@narula-pingle.com,Karimnagar,Tamil Nadu,India,Active
SUP031,Chokshi Group,International,Hema Saraf,1192357005,anaybatra@magar.net,Ratlam,Odisha,India,Active
SUP032,Varty-Srinivas,National,Jeet Kanda,9112095681,kapadiabalhaar@khalsa-bhandari.com,Bathinda,Jharkhand,India,Active
SUP033,Iyer Group,National,Ishaan Karpe,9927016149,rakshamadan@master.net,Mirzapur,Tamil Nadu,India,Active
SUP034,"Mangat, Saran and Ranganathan",Local,Mugdha Pillay,8714520902,nitara67@palla.com,Darbhanga,Bihar,India,Active
SUP035,"Sandhu, Narayan and Khalsa",International,Wazir Vohra,8331875446,ishaanne@joshi.com,Jamshedpur,Karnataka,India,Active
SUP036,Goda-Dube,International,Forum Contractor,1906726233,wkalita@gole.com,Kumbakonam,Goa,India,Active
SUP037,"Patil, Andra and Sarna",National,Vivaan Kade,3068900552,christopherramakrishnan@more.com,Bhimavaram,Uttar Pradesh,India,Active
SUP038,Vala Ltd,Local,Rachita Wali,6218559473,gargfrado@dugal.biz,Thiruvananthapuram,Sikkim,India,Active
SUP039,Pal Inc,Local,Kevin Karnik,7828161237,krishnaethan@trivedi-ganesh.info,Sultan Pur Majra,Odisha,India,Active
SUP040,Sibal-Agate,Local,Praneel Goyal,4256075188,udyatiagate@gokhale.com,Howrah,Arunachal Pradesh,India,Active
SUP041,"Kata, Nadkarni and Bal",Local,Gautam Kannan,0867007873,gsaxena@deshmukh.net,Hazaribagh,Uttarakhand,India,Active
SUP042,Balakrishnan and Sons,International,Inaya Jhaveri,5975485586,yatin78@chander-dasgupta.biz,Kishanganj,Tripura,India,Active
SUP043,Khurana-Koshy,International,Divya Raj,7011002660,yauvanipal@iyer.com,Warangal,Telangana,India,Active
SUP044,"Salvi, Kade and Shanker",International,Jalsa Kale,8571010833,isaac61@subramanian-sunder.com,Anantapuram,West Bengal,India,Active
SUP045,"Viswanathan, Dubey and Manda",International,Jeremiah Goswami,7039328761,ijaya66@tara-bhavsar.com,Nellore,Manipur,India,Active
